,videoId,publishedAt,channelID,title,channelTitle,viewCount,channelType
2227,2ji1yHIzbdQ,2022-10-08T13:41:48Z,UCRxMf6FOh_gCvIXLqQAMnug,50 AI Bots vs 1 Creative Warrior,Raider464,283132,"['/m/02ntfj', '/m/0bzvm2', '/m/021bp2', '/m/025zzc', '/m/0403l3g']"
2228,swMMWiPiEjc,2022-02-13T16:18:56Z,UCCRdB9rqzP2m7bPYb5drH_Q,Progamer vs the HIGHEST Ranked BOT (Eris) on the Sc2 AI Ladder,Harstem,270100,"['/m/025zzc', '/m/0bzvm2', '/m/03hf_rm', '/m/0403l3g']"
2229,oUjJCAKf3go,2022-02-26T17:14:12Z,UCVAEZCSdGp_9obd9jZ_922Q,Ai Vs Avengers Fun Match ပွဲGame 4 M2ပွဲမှာ ပရိတ်သတ်တွေအမှတ်တရ ဖြစ်စေမဲ့ Hero တွေနဲ့ပြန်ဆော့ပြတဲ့ Ai,Mobile Gaming,269175,"['/m/025zzc', '/m/0bzvm2', '/m/03hf_rm', '/m/0403l3g', '/m/02ntfj']"
2230,qEVx5t5l6Zw,2022-08-07T22:07:40Z,UCOT48Yf56XBpT5WitpnFVrQ,AI Vs Human Drone Race - Zurich University,BMSWEB,255766,"['/m/019_rr', '/m/03glg', '/m/07c1v']"
2231,Py7xJyQguEg,2022-11-26T18:00:17Z,UC--TKxqP8xJNymgrLe-thhA,1 Terran Grandmaster vs 10 Random ELITE A.I. (WORLD RECORD),uThermal,245374,"['/m/0bzvm2', '/m/03hf_rm', '/m/025zzc', '/m/0403l3g']"
2232,qzf6PhL2k6E,2022-11-22T22:17:42Z,UC8JRgCz8pVHu5XH4A8My17g,"AI Animation test comparing 3d model vs AI vs human corrections, effects",Kami Otaku,244623,"['/m/02vxn', '/m/02lkt', '/m/02jjt', '/m/04rlf']"
2233,HD2_PHpxv9g,2022-11-03T10:52:55Z,UCMT1Aw4R4nf_sFNDeuJqc6w,AI vs Spinner,AI Warehouse,241284,"['/m/0bzvm2', '/m/04q1x3q', '/m/0403l3g']"
2234,pVxUSpekX28,2022-11-15T18:02:46Z,UCkg2ZDee9ZLBCd2LVB6DPHA,HUMAN vs AI - Who Can Build The Better Drag Car in BeamNG?!?,AR12Gaming,194528,"['/m/02ntfj', '/m/01sjng', '/m/025zzc', '/m/0bzvm2']"
2235,QUz0vSJdSv0,2022-10-16T08:16:43Z,UCpxpT6-Y0VS4Awa2ve9-WvQ,Black Sabbath - War Pigs but every lyric is an AI generated image,AI Art,176196,"['/m/04rlf', '/m/06by7']"
2236,pESQXUj3QoA,2022-11-18T09:00:10Z,UCC-665vlNEaVjl13szIHubw,FIFA 23 PS5 | 日本 vs ドイツ | カタール・ワールドカップ | 4K |【AI vs AI】,FIFA侍,153643,"['/m/06ntj', '/m/0bzvm2', '/m/03hf_rm', '/m/022dc6', '/m/02vx4']"
2237,OKTcG0mJgxs,2022-03-26T15:14:45Z,UClRdPI_hm5DIl1G1SNh9oMQ,[HoI4] Double Timelapse - Vanilla AI VS Expert AI,GameWatcher Timelapse,146403,"['/m/0bzvm2', '/m/03hf_rm', '/m/025zzc', '/m/0403l3g']"
2238,EsQgD9yNMxU,2022-07-29T17:30:23Z,UCLEVrhumRsK67JkP3G4w5cQ,Pro Artist vs AI Art: maybe we can be friends?,Ross Draws,139076,"['/m/03glg', '/m/019_rr']"
2239,XZaLDdHiBNI,2022-05-20T21:55:38Z,UC7WNZQb14M9X6whT6WMsWoQ,F1 22 Gameplay - 0% AI vs No Assists on a Controller,Tiametmarduk,136047,"['/m/022dc6', '/m/01sjng', '/m/03hf_rm', '/m/0bzvm2']"
2240,WABbMAmJ-g4,2022-10-07T14:30:11Z,UCVpYXCmNlsWM0ZFBzN_TMPg,Future of AI vs expectations - with Neil deGrasse Tyson #shorts #science #technology #ai #robot,Future Here Show,128552,['/m/01k8wb']
2241,KnYfa_WNOKg,2022-10-18T13:37:34Z,UC3lNFeJiTq6L3UWoz4g1e-A,（実況）AI　VS　樋口円香,卯月コウ,114543,"['/m/0bzvm2', '/m/0403l3g', '/m/025zzc', '/m/02ntfj']"
2242,54fpCktJhsU,2022-02-26T20:04:29Z,UCVAEZCSdGp_9obd9jZ_922Q,AI VS AVENGERS ( Fun Match ) Role ချိန်းပြီးဆော့လဲ ကြမ်းတာပဲ အကြမ်းတလိုင်း Kid ရဲ့ Lencelot,Mobile Gaming,98047,"['/m/0403l3g', '/m/025zzc', '/m/0bzvm2', '/m/03hf_rm', '/m/02ntfj']"
2243,Gl9HUWC_7MQ,2022-09-17T02:59:21Z,UCV77wqu_Jw-hV51YuAPBDJg,PLAYMAKER &amp; AI VS SOULBURNER!!! VRAINS WORLD EARLY DUEL PREVIEW!,NoWBrian THE WORLD,72526,"['/m/025zzc', '/m/04q1x3q', '/m/0bzvm2']"
2244,ckowUkmrP7c,2022-03-29T16:31:01Z,UCW12Hdhb8pVj_BrAy3A0HvQ,[Game - 1] Ai Esports vs Falcon Nex  / REAL CUP,Zay Casting Channel,68272,"['/m/0bzvm2', '/m/0403l3g', '/m/025zzc', '/m/03hf_rm']"
2245,g-49inkcTP0,2022-09-23T00:00:14Z,UCKy1dAqELo0zrOtPkf0eTMw,Portal Auto-Enhanced with Nvidia RTX Remix AI vs Original,IGN,65564,"['/m/0bzvm2', '/m/02ntfj', '/m/0403l3g', '/m/02jjt', '/m/02vxn', '/m/025zzc']"
2246,PjW0TzYLMlg,2022-11-09T10:00:06Z,UCOOKj-kWvrsK8CDfHZTw9lw,&#39;AI가 인간을 대체할 수 있을까?&#39; AI vs 인간 그림 대결 ｜PIXID,Pixid,62057,"['/m/02jjt', '/m/028sqc', '/m/04rlf']"
2247,SxVeHF97e4g,2022-04-06T10:00:29Z,UC2CetDoIdrjGj6RPWPDsNrA,Cities Skylines Traffic AI vs TMPE Traffic Manager Cities Skylines mod,Sportsmonkey,61375,"['/m/021bp2', '/m/0bzvm2', '/m/03hf_rm']"
2248,u8t4-eqEYds,2022-06-22T12:00:30Z,UCmKtn_HvpfbTu3QV4lhJIMw,Google LaMDA 2 vs. OpenAI GPT 3: (Watch the AI Demos),CNET Highlights,54538,"['/m/019_rr', '/m/07c1v']"
2249,7_A9fY5YjWg,2022-03-20T00:13:30Z,UCnbmkVyQ6oa8L0lsuqdQ25g,Stellaris The New AI Vs. Technocracy,Montu Plays,54385,"['/m/0bzvm2', '/m/03hf_rm', '/m/0403l3g', '/m/02ntfj', '/m/025zzc']"
2250,WG_A1DjPqIs,2022-04-22T12:30:15Z,UCJbg_yirB5vm9VKn5yLGCKw,I made 60fps Flipbooks using A.I.,Andymation,14644966,"['/m/019_rr', '/m/03glg']"
2251,gOVqHNEwhGk,2022-11-19T17:00:36Z,UCf7k_CRPu1ufFYXBCPHEt4g,AI Art vs Professional Artist,1 Minute Talk Show,6204435,"['/m/02jjt', '/m/02vxn', '/m/09kqc']"
2252,J6Mdq3n6kgk,2022-07-21T12:21:53Z,UCvCYE-3TrY1GAe2l8K08N-w,Stunning AI shows how it would kill 90%. w Elon Musk.,Digital Engine,5978765,"['/m/07c1v', '/m/019_rr', '/m/01k8wb', '/m/098wr']"
2253,b2bdGEqPmCI,2022-09-11T19:31:19Z,UCvCYE-3TrY1GAe2l8K08N-w,"This intense AI anger is exactly what experts warned of, w Elon Musk.",Digital Engine,5110616,"['/m/019_rr', '/m/07c1v', '/m/098wr', '/m/01k8wb']"
2254,PwY-jVSM-f0,2022-05-05T20:43:03Z,UClyGlKOhDUooPJFy4v_mqPg,I used an A.I. to make videogame characters fight to the death,DougDoug,3758392,"['/m/0bzvm2', '/m/02ntfj', '/m/0403l3g', '/m/025zzc', '/m/03hf_rm']"
2255,zFO8_dLo8Oo,2022-09-13T19:03:46Z,UClyGlKOhDUooPJFy4v_mqPg,Twitch Chat and I invaded Europe with Artificial Intelligence,DougDoug,3087539,"['/m/02ntfj', '/m/0bzvm2', '/m/025zzc', '/m/0403l3g', '/m/03hf_rm']"
2256,u2aiUs5giDc,2022-09-20T18:24:42Z,UClyGlKOhDUooPJFy4v_mqPg,Twitch Chat and I invaded USA with Artificial Intelligence,DougDoug,2685204,"['/m/03hf_rm', '/m/0bzvm2', '/m/025zzc', '/m/02ntfj', '/m/0403l3g']"
2257,dazC6msRuJw,2022-11-01T19:57:04Z,UClyGlKOhDUooPJFy4v_mqPg,Twitch Chat and I invaded Space with Artificial Intelligence,DougDoug,2241525,"['/m/025zzc', '/m/0bzvm2', '/m/02ntfj', '/m/0403l3g', '/m/03hf_rm']"
2258,JV6jqrFrjEQ,2022-02-25T17:14:29Z,UCLEVrhumRsK67JkP3G4w5cQ,Pro Artist vs A.I. Art 🖌️🤖 (WHO WINS?!) #shorts,Ross Draws,1961328,"['/m/019_rr', '/m/03glg']"
2259,2NE0SLKbtWM,2022-03-17T19:02:07Z,UClyGlKOhDUooPJFy4v_mqPg,I built an Ai Family to beat my Twitch Chat in Mario Maker,DougDoug,1756706,"['/m/03hf_rm', '/m/0bzvm2', '/m/0403l3g', '/m/025zzc', '/m/02ntfj']"
2260,bKUbCtjDddI,2022-10-17T02:05:00Z,UCnhZLX5aZhoMADqHZrCiObw,Super Powerful NPC Fights the Smart AI (with Active Ragdoll Physics),NPC Spawner,1678968,"['/m/0bzvm2', '/m/025zzc', '/m/02ntfj']"
2261,eFXbjZknuRg,2022-01-24T11:15:01Z,UCQ_MqAw18jFTlBB-f8BP7dw,【これ、何の絵？】AIが描いた絵画クイズ【AI vs 東大生】,QuizKnock,1296327,"['/m/019_rr', '/m/02jjt']"
2262,MJlw1nwn94s,2022-09-21T09:00:25Z,UCpLR7VLY8AUVdaHew7Fmd3A,Anna vs Lisa Lover Drawing Challenge! Ai Là Người Vẽ Alex Đẹp Hơn| Gacha Club | Gacha Life Rainbow-Z,Rainbow Z - Tiếng Việt,1135801,"['/m/02vxn', '/m/02jjt']"
2263,wvUMBW6uBng,2022-11-17T12:46:08Z,UCKCK2lumiYpKfD1aEj4W5vg,PICKUPLINE BATTLE GIRL AI TEAM VS AYLAGLOW !!! LAMIN ISYA BAGI KAWKAW…,Alieff Irfan,1113956,"['/m/019_rr', '/m/02jjt']"
2264,mKHkCAdS0gY,2022-01-11T13:00:19Z,UCmKtn_HvpfbTu3QV4lhJIMw,Ameca vs. Sophia; Lifelike vs. AI - Robots of CES,CNET Highlights,1088126,"['/m/07c1v', '/m/019_rr']"
2265,4zEYcFlv3HM,2022-10-05T11:04:05Z,UCHu2KNu6TtJ0p4hpSW7Yv7Q,ARTIST Vs. AI - It&#39;s getting smarter...,Jazza,1054155,"['/m/019_rr', '/m/03glg']"
2266,W2EQ5QGBNfY,2022-08-29T17:00:17Z,UC--TKxqP8xJNymgrLe-thhA,1 Terran Grandmaster vs 7 Zerg INSANE A.I. (WORLD RECORD),uThermal,1010675,"['/m/03hf_rm', '/m/025zzc', '/m/0bzvm2', '/m/0403l3g']"
2267,lMAQu6sitW4,2022-11-26T06:00:17Z,UCszFjh7CEfwDb7UUGb4RzCQ,[짐승친구들] AI VS 슘댱이,짤툰,1014016,"['/m/02jjt', '/m/02vxn']"
2268,dmzCgjQcTms,2022-08-08T15:21:05Z,UCurYxozQbvKn-oNUxNJh45Q,ELON MUSK AI vs GOOGLE AI | SEE WHAT THESE AI&#39;s ARE CAPABLE OF ?| ARTIFICIAL INTELLIGENCE ELON MUSK|,GREAT IDEAS GREAT LIFE,978518,"['/m/098wr', '/m/019_rr', '/m/01k8wb']"
2269,-tf8W8YrVIE,2022-08-18T19:00:01Z,UC_slDWTPHflhuZqbGc8u4yA,"pro geoguessr player vs ai, it didn&#39;t go well...",RAINBOLT,841782,"['/m/0bzvm2', '/m/03hf_rm', '/m/02ntfj', '/m/021bp2']"
2270,7UaN9vYqBfM,2022-10-22T10:00:05Z,UCZRWf-SUOu4c8FSq2ezH-Zw,Mẹ nghèo VS Mẹ giàu - Ai là người mẹ tuyệt vời nhất? | Bon Bon TV,Bon Bon TV,802367,"['/m/02vxn', '/m/02jjt']"
2271,HA6cuneRto4,2022-10-25T08:15:00Z,UCMMyTzzyz9oH2c4XSaeKyDQ,[sub] 어딘가 이상한 상황극:) AI vs AI 그림그리기 대결🤖 근데 AI가 좀 이상한데ㅎㅎㅎㅎ,다람냥-Daram Slime,745298,"['/m/019_rr', '/m/03glg']"
2272,5GO2xKmZsVo,2022-08-10T12:17:26Z,UCHu2KNu6TtJ0p4hpSW7Yv7Q,FIVERR Vs AI - Is this the END for ARTISTS?...,Jazza,712774,"['/m/019_rr', '/m/03glg']"
2273,uxAplLF29OY,2022-09-09T21:13:06Z,UCPB5tGdMPPFhGOVA2tEsQqA,Smart AI Comparison | BUSSID VS BSU | Maleo V/S Zuuks,Lay Jee,671497,"['/m/021bp2', '/m/0bzvm2']"
2274,N_HEdDFGfhI,2022-09-06T00:01:00Z,UC2BmpDwbYxle6gjImeLv1Vg,War Pigs  - AI illustrating every lyric,ARTificial Video,616410,"['/m/06by7', '/m/04rlf', '/m/064t9']"
2275,J8-e01Kq6TI,2022-02-21T15:06:56Z,UClRdPI_hm5DIl1G1SNh9oMQ,[HoI4] World War 3 [AI Simulation] 2022,GameWatcher Timelapse,527688,"['/m/025zzc', '/m/03hf_rm', '/m/0403l3g', '/m/0bzvm2']"
2276,RHOZp_XQj0w,2022-11-26T22:35:30Z,UC0ticY4yAhy8BTX4ovuZ8Xg,"OLHA EU ME AMARRO EM VOCÊ, MAS DESSE JEITO AI Vs MACET# NO PONTO - FUNK TIKTOK [ CL SANTOS ]",RM SILVA ϟ,510104,"['/m/04rlf', '/m/0g293', '/m/0glt670']"
2277,iU9f6ZiYDdw,2022-10-20T19:00:19Z,UC_slDWTPHflhuZqbGc8u4yA,pro geoguessr player vs ai: the rematch,RAINBOLT,497373,"['/m/02ntfj', '/m/0bzvm2', '/m/03hf_rm', '/m/021bp2']"
